分類,名称,商品群,前年売上,当年売上,金額増減,数量増減,平均単価変化,突合単価効果,突合品目,単価ばらつき
2,トレー,食品容器,55907394,58019262,0.03777439527945092,-0.040389184129297484,0.08145341644344284,0.2246200615205023,1326,0.6734158998636307
5,袋類,フィルム・袋・ラミネート,37357029,35061735,-0.06144209166098302,-0.2808693864246965,0.30512856860979154,0.27482838022673883,271,1.2995144432294485
99,その他,その他,32752464,34650418,0.05794843404758798,-0.07195660625958489,0.1399773342317534,0.18590153193603998,441,2.758846095188257
3,段ボール,紙箱・紙製品・ラベル・段ボール,32695768,35071386,0.07265827185952634,0.04729805105999696,0.024214903077363292,0.06747583124061518,364,0.6395963226909332
1,発泡スチロール,食品容器,27173707,33217953,0.22242993935277222,-0.1478576624351785,0.43453726621086153,0.265240681186522,154,0.6513283699007922
4,フィルム,フィルム・袋・ラミネート,25594236,32510807,0.27023940077758124,0.010335449851566869,0.2572452059998469,0.2430857663099215,106,2.947504334486063
6,シール,紙箱・紙製品・ラベル・段ボール,10619918,9312447,-0.12311498073713945,-0.2552838260249395,0.17747545965374223,0.13399254874380273,196,3.398782481258058
9,荷役,荷役,4132818,3749019,-0.09286617508924899,-0.1326182350073135,0.04582994653847683,-0.07484190226956211,31,1.954242509439325
34,単体ﾌｨﾙﾑ(ｻﾝﾃｯｸ以外),フィルム・袋・ラミネート,2731482,4776376,0.7486390172075086,1.1967329261964634,-0.20398196960829817,0.30854439186271265,16,1.063760887180131
32,ＰＰトレー,食品容器,2603823,3606376,0.38503116379262337,0.32517520215633433,0.045168338147960396,0.17676997654056992,11,0.3316332994548627
36,ポリ袋(レジ袋含む),フィルム・袋・ラミネート,1454757,1798554,0.23632606682765567,0.12589985347518629,0.09807818431775206,0.17525740324962547,30,1.799911660878898
20,食品添加物･調味料,消耗品,1316125,677100,-0.4855351885269257,-0.42949756888168555,-0.0982250321622532,,0,1.1159672779389849
38,ｳﾚﾀﾝﾏｯﾄ･ﾐﾗﾏｯﾄ,フィルム・袋・ラミネート,1033536,824018,-0.20271959564059694,0.11398705823792943,-0.2843001195897942,0.1846899538124538,14,0.8002955403084074
40,印字ﾃｰﾌﾟ･ｲﾝｸﾛｰﾙ,消耗品,747375,710295,-0.04961364776718513,-0.09890109890109888,0.054697049429099476,,0,0.6522266007936925
27,テープ,消耗品,608985,649186,0.06601312019179462,-0.235173223722842,0.3937968089724577,0.18863431310570866,13,0.38340952886799207
31,シート,フィルム・袋・ラミネート,503265,131030,-0.7396401498216645,-0.7245444801714898,-0.054802567251412526,,0,0.5757466460091917
26,バンド類,消耗品,501660,478790,-0.04558864569628829,-0.24637681159420288,0.266430450903002,0.28602128745571354,10,0.23182982709465952
37,手袋･マスク,消耗品,383618,426674,0.11223665208618994,0.20442380207854316,-0.07654045846093427,,0,2.493690356152855
7,木箱,木箱,315520,304338,-0.03543990872210956,-0.23168103448275867,0.2554162197838463,,0,0.09793068206046379
98,その他資材,消耗品,241390,201115,-0.16684618252620242,-0.5895473904569407,1.0298416872079699,,0,2.1526101632061585
30,化粧箱,紙箱・紙製品・ラベル・段ボール,240650,226750,-0.057760232703095826,-0.4545454545454546,0.7274395733776575,,0,0.8007497025673989
35,サンテックフィルム,フィルム・袋・ラミネート,237896,401008,0.6856441470222281,0.6226415094339623,0.038827206885791776,,0,0.6658395084469885
43,洗浄剤･殺菌剤,消耗品,200410,222067,0.10806346988673221,-0.19999999999999996,0.3850793373584154,0.12432846826390764,10,0.8239087409443188
42,ﾍﾟｰﾊﾟｰﾀｵﾙ･ｶｳﾝﾀｰｸﾛｽ,消耗品,187790,147117,-0.21658767772511844,0.20918866080156406,-0.3521173761623252,,0,1.0743287432532127
24,エアキャップ,フィルム・袋・ラミネート,173866,182270,0.04833607490826264,-0.20944082938127273,0.32606908359280373,,0,1.0788711464400882
19,自社対応商品,荷役,168950,128637,-0.23860905593370818,-0.11904761904761907,-0.1357183878166417,,0,1.52231800345692
25,衛生用品(帽子他),消耗品,163904,187754,0.14551200702850453,2.1248843663274743,-0.6334225933695046,,0,2.285655134097027
39,ﾊﾞﾗﾝ･箸･他小物類,消耗品,163745,278460,0.7005710098018261,-0.4408776750770256,2.0415008201221427,,0,2.453997455872525
41,吸水紙･吸水ｼｰﾄ,消耗品,149790,317675,1.1208024567728154,0.8616378557709097,0.13921322033633898,,0,3.0878875179705547
28,検査用品,消耗品,144475,76210,-0.4725038934071639,9.152777777777779,-0.948044159131759,,0,2.11069829749369
90,運賃,荷役,120000,126150,0.05125000000000002,1.6666666666666665,-0.6057812499999999,,0,1.5228787452803376
23,カット板,食品容器,89760,93320,0.03966131907308368,-0.33333333333333337,0.5594919786096257,,0,0.31206529490338
21,ガラス,食品容器,67631,57390,-0.1514246425455782,-0.6573323507737656,1.4763801291734415,,0,1.0774719037378817
22,紙類,紙箱・紙製品・ラベル・段ボール,59050,58690,-0.006096528365791665,0.5117705871659699,-0.3425566815019053,,0,2.553368067428238
29,保冷･脱酸素･乾燥剤,消耗品,50910,41669,-0.18151640149283044,-0.33382193268186755,0.22862585645033495,,0,2.19472630999545
44,アルコール製剤,消耗品,35810,13850,-0.6132365261100252,-0.6666666666666667,0.16029042166992458,,0,0.22453998570705075
17,新箱(木箱),木箱,1150,2100,0.826086956521739,0.3999999999999999,0.30434782608695654,,0,0.0946381971114501
